Timestamp,aX (g),aY (g),aZ (g),Temp (C),gX (�/s),gY (�/s),gZ (�/s)
30276,0.02,1.01,0.00,30.32,2.24,0.67,0.18
30381,0.00,1.00,0.00,30.37,2.24,0.94,0.02
30485,0.03,1.00,-0.00,30.37,2.35,0.68,-0.05
30589,0.04,0.99,0.00,30.27,2.29,0.96,-0.01
30695,0.02,1.00,-0.01,30.32,2.34,0.76,0.11
30799,0.04,1.01,0.00,30.32,2.37,0.77,0.21
30904,0.02,1.00,-0.00,30.37,2.24,0.95,0.27
31008,-0.01,1.00,0.00,30.37,2.39,0.76,0.02
31113,-0.01,0.99,0.00,30.32,2.14,0.73,-0.03
31217,0.04,1.01,0.00,30.27,2.11,0.77,0.10
31322,0.00,0.99,0.00,30.27,2.27,0.91,-0.01
31426,-0.01,0.99,0.00,30.37,2.25,0.65,0.10
31531,0.01,0.99,0.01,30.32,2.35,0.78,0.23
31635,0.02,1.00,-0.00,30.37,2.45,0.59,0.24
31740,0.00,0.99,0.01,30.27,2.32,0.69,0.08
31845,-0.00,0.99,0.00,30.32,2.18,0.66,0.02
31949,0.04,1.01,0.00,30.37,2.44,0.62,0.18
32054,0.03,1.01,0.00,30.27,2.16,0.83,-0.02
32158,0.00,1.00,-0.00,30.32,2.22,0.79,0.08
32263,0.01,1.00,0.01,30.41,2.08,0.55,0.13
32367,0.04,1.01,-0.00,30.37,2.27,0.76,0.21
32472,0.04,1.01,-0.00,30.37,2.02,0.64,0.20
32576,0.04,1.00,-0.00,30.22,2.26,0.82,0.21
32680,0.02,1.00,0.00,30.27,2.25,0.64,0.20
32785,0.04,1.00,0.00,30.22,2.27,0.69,0.12
32890,-0.00,0.99,0.01,30.41,2.30,0.66,0.14
32995,0.01,0.99,-0.00,30.27,2.24,0.73,0.17
33099,0.02,0.99,0.00,30.32,2.16,0.76,-0.03
33204,-0.01,0.99,0.00,30.27,2.45,0.69,0.08
33308,0.03,1.01,-0.00,30.27,2.44,0.63,0.07
33413,-0.00,0.99,-0.00,30.22,2.13,0.75,0.04
33517,0.01,1.00,0.01,30.32,2.22,0.65,0.18
33622,0.04,1.00,0.00,30.27,2.20,0.82,0.16
33726,0.04,1.00,0.01,30.27,2.25,0.79,-0.04
33830,0.00,1.00,0.00,30.32,2.30,0.76,0.14
33935,-0.01,0.99,0.01,30.37,2.31,0.64,0.09
34040,0.04,1.00,0.00,30.32,2.37,0.69,0.13
34145,0.01,0.99,0.01,30.32,2.27,0.56,0.15
34249,0.01,0.99,-0.01,30.27,2.35,0.53,0.01
34354,0.01,1.00,0.00,30.22,2.20,0.67,-0.03
34458,-0.00,0.99,0.00,30.32,2.22,0.76,0.05
34563,-0.01,0.99,0.01,30.27,2.27,0.75,0.11
34667,0.02,1.00,0.00,30.22,2.24,0.71,0.01
34771,0.00,1.00,0.00,30.22,2.40,0.82,-0.05
34876,0.01,0.99,0.00,30.27,2.18,0.82,0.02
34980,0.01,1.00,0.01,30.37,2.26,0.85,0.05
35086,0.02,1.00,0.00,30.32,2.18,0.60,0.13
35190,0.02,1.01,0.01,30.18,2.16,0.77,-0.04
35295,0.03,1.00,0.00,30.27,2.22,0.75,0.08
35399,0.02,0.99,0.01,30.32,2.22,0.62,-0.03
35504,0.00,0.99,0.00,30.37,2.42,0.67,-0.03
35608,-0.01,0.99,0.01,30.27,2.27,0.73,0.05
35713,0.01,1.00,0.00,30.27,2.27,0.82,0.17
35817,-0.00,0.99,0.01,30.32,2.05,0.62,0.00
35921,0.01,0.99,-0.00,30.32,2.27,0.68,-0.08
36026,0.00,0.99,0.01,30.32,2.11,0.75,0.01
